full_name,a,e,g,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,h,diameter,extent,albedo,rot_per,gm,bv,ub,ir,spec_b,spec_t,neo,pha,moid
  6708 Bobbievaile (1989 AA5),2.445918418,0.180610584,,12.07699812,115.8028887,193.5495208,2.004159665,2.887677171,3.82534979,14506.0,0.0,2034.0,13.1,8.074,,0.169,12.3415,,,,,,,N,N,0.990328
  6709 Hiromiyuki (1989 CD),2.350176199,0.159983778,,1.827153725,98.97251756,343.6771306,1.974186133,2.726166265,3.602954999,23361.0,0.0,1695.0,13.9,3.975,,0.338,6.828,,,,,,,N,N,0.990167
  6710 Apostel (1989 GF4),2.800794915,0.221772814,,6.578357671,217.7281362,82.66273148,2.179654744,3.421935085,4.687380037,13591.0,0.0,2041.0,13.1,11.634,,0.09,,,,,,,,N,N,1.17551
  6711 Holliman (1989 HG),2.56502622,0.117859396,,14.71110779,191.4709269,347.4319922,2.26271378,2.86733866,4.108146434,10730.0,0.0,1426.0,13.4,5.199,,0.343,,,,,,,,N,N,1.26742
  6712 Hornstein (1990 DS1),2.399100677,0.123142635,,0.969018477,264.1362921,322.6018398,2.103669097,2.694532257,3.716044552,14625.0,0.0,2234.0,14.1,9.281,,0.04,,,,,,,,N,N,1.09411
  6713 Coggie (1990 KM),2.344102495,0.079495926,,19.46653751,209.7520914,46.19852719,2.157755897,2.530449093,3.588997022,17287.0,0.0,1723.0,13.5,4.386,,0.401,,,,,,,,N,N,1.17626
  6714 Montreal (1990 OE2),2.554226997,0.134702388,,14.56141635,117.546854,232.8576407,2.210166522,2.898287472,4.082229705,14478.0,0.0,2185.0,12.3,9.517,,0.195,,,,,,,,N,N,1.23057
  6715 Sheldonmarks (1990 QS1),2.669562248,0.004300933,,3.450456247,1.827024351,237.9639829,2.658080639,2.681043856,4.361825431,15219.0,0.0,1653.0,13.8,9.295,,0.074,,,,,,,,N,N,1.64595
  6716 (1990 RO1),2.79044945,0.058746108,,4.649131797,162.1426539,261.8133945,2.626521406,2.954377494,4.661432948,15473.0,0.0,1892.0,13.1,15.818,,0.046,,,,,,C,,N,N,1.64423
  6717 Antal (1990 TU10),2.810006775,0.236713785,,6.375843961,233.2916373,99.27921287,2.144839435,3.475174115,4.710524345,17288.0,0.0,1579.0,13.6,10.357,,0.058,,,,,,,,N,N,1.14515
  6718 Beiglbock (1990 TT12),2.912349247,0.063041505,,1.545850917,0.437099529,320.1345344,2.728750366,3.095948128,4.970194489,23812.0,0.0,2391.0,12.8,,,,,,,,,,,N,N,1.71518
  6719 Gallaj (1990 UL11),2.757737324,0.081653306,,3.224110743,76.53344399,314.8461351,2.532558955,2.982915693,4.579705462,12283.0,0.0,2137.0,13.0,8.133,,0.203,4.43,,,,,,,N,N,1.5388
  6720 Gifu (1990 VP2),3.091615054,0.150711344,,14.85685413,50.38979853,10.64467999,2.625673594,3.557556514,5.436086044,28301.0,0.0,1978.0,12.2,21.191,,0.099,4.231,,,,,,,N,N,1.63901
  6721 Minamiawaji (1990 VY6),2.928765362,0.215346758,,17.00974936,55.92121591,272.3189237,2.298065237,3.559465487,5.012277089,14196.0,0.0,1960.0,12.6,14.202,,0.062,14.518,,,,,,,N,N,1.36275
  6722 Bunichi (1991 BG2),3.173218207,0.185375191,,2.817629218,63.26979241,55.58200429,2.584982277,3.761454137,5.652728261,23657.0,0.0,1807.0,12.8,15.135,,0.07,,,,,,,,N,N,1.60273
  6723 Chrisclark (1991 CL3),3.198240855,0.141435191,,17.7213889,23.3877536,74.54249409,2.745897047,3.650584663,5.719722414,23617.0,0.0,1746.0,12.4,19.052,,0.064,,,,,,,,N,N,1.82546
  6724 (1991 CX5),3.064848255,0.140285905,,9.562981251,103.7010145,24.28127517,2.634893242,3.494803267,5.365641687,22141.0,0.0,2273.0,11.9,20.506,,0.084,,,,,,,,N,N,1.65401
  6725 Engyoji (1991 DS),3.149055032,0.117462169,,2.337709699,116.4798274,2.314986109,2.779160198,3.518949865,5.588285397,14773.0,0.0,1933.0,12.5,,,,,,,,,,,N,N,1.79558
  6726 Suthers (1991 PS),2.286791678,0.093652809,,4.303396678,277.6424979,146.9785225,2.072627212,2.500956143,3.458184077,24119.0,0.0,1540.0,13.9,3.455,,0.207,,,,,,,,N,N,1.08748
  6727 (1991 TF4),2.635184343,0.213228281,,3.199514935,16.01932016,22.73672276,2.073288516,3.197080171,4.27784165,14829.0,0.0,1448.0,13.9,8.851,,0.118,,,,,,,,N,N,1.08076
  6728 (1991 UM),2.217463067,0.099346088,,1.958016241,10.59770631,20.79178021,1.997166786,2.437759347,3.302119569,14794.0,0.0,2055.0,14.7,2.842,,0.316,,,,,,,,N,N,1.00194
  6729 Emiko (1991 VV2),2.599379584,0.174873639,,13.94620766,16.49450844,69.31495044,2.144816616,3.053942552,4.190952683,17185.0,0.0,1496.0,12.4,9.395,,0.264,3.13,,,,,,,N,N,1.20356
  6730 Ikeda (1992 BH),3.125524087,0.14958527,,18.2701025,140.2999353,18.89422552,2.657991722,3.593056453,5.525765844,9980.0,0.0,1671.0,12.3,9.118,,0.307,16.33408,,,,,,,N,N,1.67479
  6731 Hiei (1992 BK),2.641726722,0.230390731,,4.160247994,353.0655336,105.4060464,2.03309737,3.250356074,4.293782446,25399.0,0.0,1260.0,13.9,7.983,,0.092,,,,,,,,N,N,1.05474
  6732 (1992 CG1),3.092092321,0.123485024,,3.419627192,113.0434152,113.3821859,2.710265227,3.473919415,5.437344884,13975.0,0.0,1910.0,12.8,12.982,,0.138,,,,,,,,N,N,1.70307
  6733 (1992 EF),3.019184467,0.040088939,,9.179488955,271.3412109,285.8927667,2.898148564,3.140220371,5.246173811,15767.0,0.0,1822.0,12.0,13.053,,0.197,11.357,,,,,,,N,N,1.91089
  6734 Benzenberg (1992 FB),3.000799893,0.112118017,,11.35306944,58.34878632,307.6254751,2.66435616,3.337243625,5.19832892,25394.0,0.0,1990.0,11.7,13.945,,0.19,196.708,,,,,,,N,N,1.68165
  6735 Madhatter (1992 WM3),2.158516332,0.079084867,,2.902521478,75.09646828,357.4540667,1.987810355,2.329222309,3.171328356,14426.0,0.0,2350.0,14.0,,,,,,,,,,,N,N,1.00224
  6736 Marchare (1993 EF),2.402240345,0.164782777,,3.097673595,63.279309,57.92346573,2.006392511,2.798088179,3.723341638,24571.0,0.0,1770.0,14.3,,,,18.632,,,,,,,N,N,1.02467
  6737 Okabayashi (1993 ER),2.327710117,0.125487679,,0.809681499,53.42069858,67.83951777,2.035611177,2.619809057,3.551415972,15286.0,0.0,2055.0,13.7,4.629,,0.395,2.55,,,,,,,N,N,1.05197
  6738 Tanabe (1993 FD1),2.339713844,0.15879009,,0.47904999,99.829837,5.211844345,1.968190471,2.711237217,3.57892271,16234.0,0.0,1449.0,14.6,,,,,,,,,,,N,N,0.985228
  6739 Tarendo (1993 FU38),3.232916916,0.119290399,,2.456920975,81.83767113,250.224765,2.847260967,3.618572865,5.812995915,17134.0,0.0,2123.0,12.8,13.982,,0.052,,,,,,,,N,N,1.83705
  6740 Goff (1993 GY),2.563544452,0.107684274,,14.80294277,64.11450362,89.92926792,2.287491029,2.839597876,4.10458715,23659.0,0.0,1271.0,13.1,6.712,,0.297,,,,,,,,N,N,1.35431
  6741 Liyuan (1994 FX),2.302236548,0.194820655,,5.707646688,164.8285187,127.2476829,1.853713316,2.750759779,3.493277755,13834.0,0.0,2160.0,13.5,4.622,,0.396,10.768,,,,,,,N,N,0.843781
  6742 Biandepei (1994 GR),2.333964529,0.171764716,,5.460691364,103.05473,150.3756764,1.933071775,2.734857284,3.565739234,22465.0,0.0,2119.0,13.3,,,,,,,,,,,N,N,0.920231
  6743 Liu (1994 GS),2.235029236,0.207046814,,8.120358089,69.76812123,207.5089495,1.772273553,2.697784919,3.341434981,23647.0,0.0,2569.0,13.5,5.302,,0.274,7.364,,,,,,,N,N,0.759962
  6744 Komoda (1994 JL),2.258965397,0.188625101,,6.669399195,85.16592874,187.0761605,1.832867822,2.685062972,3.395256347,14899.0,0.0,1659.0,14.0,3.968,,0.339,3.11,,,,,,,N,N,0.816382
  6745 Nishiyama (1994 JD1),2.227561435,0.138440986,,6.068892679,127.2786211,86.8539237,1.919175635,2.535947235,3.324702102,15306.0,0.0,1864.0,14.6,2.571,,0.259,,,,,,,,N,N,0.924585
  6746 Zagar (1994 NP),2.600258284,0.160768802,,12.72392949,258.8408123,44.96168788,2.182217874,3.018298694,4.193077942,11613.0,0.0,1560.0,12.7,7.741,,0.295,8.136,,,,,,,N,N,1.18503
  6747 Ozegahara (1995 UT3),2.97517776,0.139199092,,4.020897032,13.08575394,344.8448577,2.561035718,3.389319802,5.131892857,19936.0,0.0,1625.0,13.2,14.012,,0.039,,,,,,,,N,N,1.55662
  6748 Bratton (1995 UV30),2.47016725,0.161247188,,4.112704641,80.54294643,192.0295066,2.071859726,2.868474774,3.882377323,14902.0,0.0,1685.0,13.9,10.597,,0.038,,,,,,,,N,N,1.05534
  6749 Ireentje (7068 P-L),2.680130486,0.251895202,,8.282689526,209.5287137,155.3006836,2.005018476,3.355242496,4.387752381,21378.0,0.0,1670.0,13.8,4.891,,0.244,,,,,,,,N,N,1.00636
  6750 Katgert (1078 T-1),3.015786286,0.095768955,,9.231921762,338.3441606,112.7151275,2.726967585,3.304604988,5.237319219,17679.0,0.0,1718.0,12.5,9.853,,0.199,9.445,,,,,,,N,N,1.76021
  6751 van Genderen (1114 T-1),2.424590474,0.161856131,,4.647827448,206.0197461,109.2614229,2.03215564,2.817025308,3.775424538,23945.0,0.0,1815.0,13.8,4.118,,0.378,3.143,,,,,,,N,N,1.02359
  6752 Ashley (4150 T-1),2.381143545,0.081346519,,13.010351,176.7048833,289.3502643,2.187445806,2.574841284,3.674401148,17580.0,0.0,1807.0,13.7,7.253,,0.085,,,,,,,,N,N,1.23986
  6753 Fursenko (1974 RV1),2.247946598,0.139095172,,3.003310823,300.0303533,352.3985059,1.93526808,2.560625116,3.370444554,24593.0,0.0,2162.0,13.5,,,,4.99,,,,,,,N,N,0.918468
